app_name,os,audience_name,audience_id,estimated_count,status
Onet - Connect & Match Puzzle,Android,US_Android_Onet Connect and Match Puzzle_PIE,6962713956635,0,⚠ Empty
Tile Master 3D - Classic Match,Android,US_Android_Tile Master 3D Classic Match_PIE,6962714047235,0,⚠ Empty
Find 3D - Match Items,Android,US_Android_Find 3D Match Items_PIE,6962715348035,0,⚠ Empty
Match 3D,iOS,US_iOS_Match 3D_PIE,6962723861435,0,⚠ Empty
Party Match,Android,US_Android_Party Match_PIE,6962733321635,0,⚠ Empty
Cube Master 3D - Match 3 & Puzzle Game,iOS,US_iOS_Cube Master 3D Match 3 and Puzzle Game_PIE,6962735228635,0,⚠ Empty
Tile Master 3D - Classic Puzzle & Triple Match,Android,US_Android_Tile Master 3D Classic Puzzle and Triple Match_PIE,6962736723435,0,⚠ Empty
Jewel Fever - Match 3 Games,Android,US_Android_Jewel Fever Match 3 Games_PIE,6962737210035,0,⚠ Empty
Jewels Planet - Free Match 3 & Puzzle Game,Android,US_Android_Jewels Planet Free Match 3 and Puzzle Game_PIE,6962738295235,0,⚠ Empty
Onnect – Pair Matching Puzzle,Android,US_Android_Onnect Pair Matching Puzzle_PIE,6962740377635,0,⚠ Empty
Mahjong Triple 3D - Tile Match Master,iOS,US_iOS_Mahjong Triple 3D Tile Match Master_PIE,6962741201035,0,⚠ Empty
Match 3D - Matching Puzzle Game,iOS,US_iOS_Match 3D Matching Puzzle Game_PIE,6962741680235,0,⚠ Empty
3 Tiles - Puzzle Match Game,Android,US_Android_3 Tiles Puzzle Match Game_PIE,6962742249435,0,⚠ Empty
Clockmaker - Amazing Match 3,Android,US_Android_Clockmaker Amazing Match 3_PIE,6962742672635,0,⚠ Empty
Tile Triple 3D - Match Master,iOS,US_iOS_Tile Triple 3D Match Master_PIE,6962742951635,0,⚠ Empty
Clockmaker: Match Three Games,Android,US_Android_Clockmaker Match Three Games_PIE,6962743078835,0,⚠ Empty
Match Tile 3D,iOS,US_iOS_Match Tile 3D_PIE,6962745155035,0,⚠ Empty
Jewel Pop Mania:Match 3 Puzzle,Android,US_Android_Jewel Pop ManiaMatch 3 Puzzle_PIE,6962743234635,0,⚠ Empty
Number Match - Logic Puzzle Game,Android,US_Android_Number Match Logic Puzzle Game_PIE,6962743279835,0,⚠ Empty
Match Triple 3D: Matching Tile,Android,US_Android_Match Triple 3D Matching Tile_PIE,6962745977835,0,⚠ Empty
Tile Connect Master:Block Match Puzzle Game,iPadOS,US_iPadOS_Tile Connect MasterBlock Match Puzzle Game_PIE,6962746346235,0,⚠ Empty
Merge Battle Car: Best Idle Clicker Tycoon game,Android,US_Android_Merge Battle Car Best Idle Clicker Tycoon game_PIE,6962746798235,0,⚠ Empty
Merge Mania,Android,US_Android_Merge Mania_PIE,6962748085235,0,⚠ Empty
Merge Muscle Car: Classic American Muscle Merger,iOS,US_iOS_Merge Muscle Car Classic American Muscle Merger_PIE,6962748819435,0,⚠ Empty
Drop The Number : Merge Puzzle,iOS,US_iOS_Drop The Number Merge Puzzle_PIE,6962749495035,0,⚠ Empty
X2 Blocks - Merge Puzzle 2048,iOS,US_iOS_X2 Blocks Merge Puzzle 2048_PIE,6962749909235,0,⚠ Empty
Merge Sandwich: Happy Club Sandwich Restaurant,Android,US_Android_Merge Sandwich Happy Club Sandwich Restaurant_PIE,6962750173835,0,⚠ Empty
Merge Truck: Monster Truck Evolution Merger game,GoogleTV,US_GoogleTV_Merge Truck Monster Truck Evolution Merger game_PIE,6962750492835,0,⚠ Empty
Merge Number Puzzle,Android,US_Android_Merge Number Puzzle_PIE,6962750600835,0,⚠ Empty
Merge Dragons!,iOS,US_iOS_Merge Dragons_PIE,6962750630835,0,⚠ Empty
Chain Cube: 2048 3D merge game,Android,US_Android_Chain Cube 2048 3D merge game_PIE,6962750648635,0,⚠ Empty
